Nome,Preço,Preço/Kg
FUMEIRO DA GARDUNHA Chouriço Mouro do Fundão 120 g,"1,19 €","9,92 €/Kg"
FUMEIRO DA GARDUNHA Farinheira do Fundão 120 g,"1,19 €","9,92 €/Kg"
DIA SABOR CHARCUTEIRO Presunto Serrano (9 meses) 150 g,"2,49 €","16,60 €/Kg"
DIA SABOR CHARCUTEIRO Presunto (7 meses) 150 g,"2,29 €","15,27 €/Kg"
DIA MAXI PAVO Fiambre de Perú 900 g,"3,29 €","3,66 €/Kg"
RIBERALVES Badanas de Bacalhau 700 g,"5,99 €","8,56 €/Kg"
DAMATTA Tapas Presunto Fatiado 120 g,"4,05 €","33,75 €/Kg"
DAMATTA Tapas Chourição Castelhano e Salame Fatiados 100 g,"3,00 €","30,00 €/Kg"
Abacate Embalado 500 g,"2,99 €","5,98 €/Kg"
DIA SABOR CHARCUTEIRO Chouriço Extra 2x100 g,"2,29 €","11,45 €/Kg"
