Nome,Preço,Preço Antigo,PpU,PpU Antigo
AUSONIA DISCREET Pants Tamanho M 9 un,"8,99 €",,"1,00 €/ud",
PALMOLIVE Gel de Banho Naturals Leite de Oliva 500 ml,"4,49 €",,"8,98 €/l",
DOVE Mousse Banho Coconut Oil 200 ml,"4,99 €",,"24,95 €/l",
DOVE Mousse Banho Rose Oil 200 ml,"4,99 €",,"24,95 €/l",
TRESEMMÉ Condicionador Caracóis Hidratados 500 ml,"6,99 €",,"13,98 €/l",
EVAX Pensos Higiénicos Fina & Segura Maxi 13 Un,"1,69 €","1,99 €","0,13 €/ud","0,15 €/ud"
TRESEMMÉ Champô Color Keratina 400 ml,"6,99 €",,"17,48 €/l",
DOVE Desodorizante Spray Extra Fresh Homem 150 ml,"2,81 €",,"18,73 €/l",
DOVE Gel de Banho Pomegranate  750 ml,"6,99 €",,"9,32 €/l",
LIS Papel Higiénico 2 Folhas 12 Un,"2,29 €",,"0,19 €/ud",
COUTO Pasta de Dentes 60 g,"2,29 €",,"38,17 €/Kg",
SYOSS Coloração 5-29 Vermelho Intenso  1 un,"9,26 €",,"9,26 €/ud",
DOVE Desodorizante Spray Men Clean 150 ml,"2,81 €",,"18,73 €/l",
FENO DE PORTUGAL Gel de Banho Hipoalergénico Mel e Geleia Real 700 ml,"2,74 €",,"3,91 €/l",
DIA LA LLAMA Papel Higiénico 2 Folhas 24 Un,"4,59 €",,"0,19 €/ud",
GLISS Champô Liso Asiático 250 ml,"5,14 €",,"20,56 €/l",
