Nome,Preço,Preço Antigo,PpU,PpU Antigo
MARFRESCO Posta Solha Higienizada (1 un = 145 g aprox),"0,87 €",,"5,99 €/Kg",
DIA TEMPTATION Gelado Cones Sabor Morango e Nata 6x68 g,"1,79 €",,"2,71 €/l",
BEIRANOVA Filetes Peixe Gato (1 un = 335 g aprox),"2,34 €",,"6,99 €/Kg",
BEIRANOVA Polvo Limpo 2-3Kg (1 un = 2485 g aprox),"39,74 €",,"15,99 €/Kg",
DIA VEGECAMPO Alho Picado 150 g,"1,70 €",,"11,33 €/Kg",
BRITES Posta de Bacalhau Individual Higienizada (1 un = 460 g aprox),"4,14 €",,"8,99 €/Kg",
MARFRESCO Sapateira Cozida Congelada 600/800 1 Un,"12,99 €",,"12,99 €/ud",
GELPEIXE Tranche de Pescada 90/130 (1 un = 120 g aprox),"0,96 €",,"7,99 €/Kg",
DIA TEMPTATION Smoothie Frutas Sabor Tropical e Sabor Frutos Vermelhos 6x55 ml,"2,39 €",,"7,24 €/l",
BRASMAR Camarão Equador (40/80) 800 g,"10,99 €",,"13,74 €/Kg",
DIA TEMPTATION Gelados Mini Caramelo e Framboesa 6x50 ml,"2,55 €",,"8,50 €/l",
BONDUELLE Salteado Parisino 400 g,"2,94 €",,"7,35 €/Kg",
FEAST Gelados Olá 4x90 ml,"4,99 €",,"13,86 €/l",
IGLO Nuggets de Frango (50 un) 1 kg,"23,99 €",,"23,99 €/Kg",
PESCANOVA Peskitos de Pescada 1 kg,"6,31 €",,"6,31 €/Kg",
BEIRANOVA Posta de Pescada do Chile (1 un = 280 g aprox),"2,80 €",,"9,99 €/Kg",
BRASMAR Gambão 10/20,"12,99 €",,"12,99 €/Kg",
CAMPOGRILL Almôndegas de Frango 360 g,"3,99 €",,"11,08 €/Kg",
BEIRANOVA Posta de Corvina (1 un = 420 g aprox),"5,04 €",,"11,99 €/Kg",
PANIKE Croissant Simples Congelado 6 un,"1,49 €",,"0,25 €/ud",
IGLO Miniburgers Batata Doce 270 g,"3,59 €",,"13,30 €/Kg",
IGLO Falafel Green Cuisine 450 g,"4,49 €",,"9,98 €/Kg",
PANIKE Croissant de Chocolate Congelado 6 un,"2,99 €",,"0,50 €/ud",
IGLO Douradinhos de Peixe Ómega 3 50 un,"12,00 €",,"8,57 €/Kg",
MARFRESCO Lula Limpa 10/20 800 g,"6,99 €","9,99 €","8,74 €/Kg","12,49 €/Kg"
BEIRANOVA Preparado Mariscada sem Glúten 450 g,"3,99 €",,"8,87 €/Kg",
IGLO Filetes Recheados com Espinafres 300 g,"2,99 €",,"9,97 €/Kg",
DIA MARI MARINHEIRA Lulas Recheadas com Carne 500 g,"9,49 €",,"18,98 €/Kg",
CORNETTO Gelado Multipack Chocolate 6x90 ml,"4,99 €",,"0,83 €/ud",
DIA TEMPTATION Gelado Tarte Laminada Nata e Chocolate 1 L,"2,05 €",,"2,05 €/l",
DIA TEMPTATION Gelado Baunilha 1 L,"2,29 €",,"2,29 €/l",
MAGNUM Gelado Copo Salty Caramel 440 ml,"5,99 €",,"13,61 €/l",
MAGNUM Gelado Mini Double Bilionaire 6x55 ml,"5,99 €",,"1,00 €/ud",
BEN&JERRY Gelado Cookie Dought 465 ml,"6,79 €",,"14,60 €/l",
MAGNUM Gelado Copo Double Bilionaire 440 ml,"5,99 €",,"13,61 €/l",
DIA TEMPTATION Gelado Sandwich Cookie Choco 4x55 g,"2,39 €",,"6,29 €/l",
"CARTE D'OR Gelado Duo Baunilha e Chocolate 1,7 L","4,60 €",,"2,71 €/l",
DIA TEMPTATION Gelado Tropical 500 ml,"2,75 €",,"5,50 €/Kg",
CORNETTO Gelado Multipack Clássico 6x90 ml,"4,99 €",,"13,86 €/Kg",
DIA TEMPTATION Gelado Caramelo Salgado 350 g,"2,39 €",,"4,78 €/l",
MCCAIN Batatas Palito Forno Express 500 g,"3,09 €",,"6,18 €/Kg",
DIA DELI SALGADO Folhado de Frango e Legumes 2x150 g,"3,55 €",,"11,83 €/Kg",
DIA DELI SALGADO Folhado de Salmão e Espinafres 2x150 g,"3,55 €",,"11,83 €/Kg",
DIA (A) MAR À VISTA Bacalhau do Pacífico Desfiado 500 g,"5,65 €",,"11,30 €/Kg",
DIA (A) MAR À VISTA Posta Bacalhau Demolhado Ultracongelado 800 g,"6,29 €",,"7,86 €/Kg",
DIA AL PUNTO Mistura de Vegetais 450 g,"3,35 €",,"7,44 €/Kg",
DIA AL PUNTO Quinoa com Verduras 400 g,"2,79 €",,"6,98 €/Kg",
MARFRESCO Tiras de Choco Panado 400 g,"8,99 €",,"22,48 €/Kg",
DIA (A) MAR À VISTA Migas de Paloco 500 g,"4,15 €",,"8,30 €/Kg",
DIA VEGECAMPO Cebola Picada 400 g,"0,92 €",,"2,30 €/Kg",
DIA SIMPRATICO Hamburguer Misto Sem Glúten 500 g,"3,65 €",,"7,30 €/Kg",
DIA PRA JÁ! Pão de Queijo Congelado 300 g,"2,49 €","2,95 €","8,30 €/Kg","9,83 €/Kg"
IGLO Ervilhas 1125 g,"3,89 €",,"3,46 €/Kg",
IGLO Almôndegas Green Cuisine 240 g,"4,79 €",,"19,96 €/Kg",
DIA PRA JÁ! Baguete com Manteiga de Alho Congelada 350 g,"1,49 €","1,79 €","4,26 €/Kg","5,11 €/Kg"
DIA DOCE NO LAR Mix de Frutos Vermelhos 600 g,"3,09 €",,"5,15 €/Kg",
DIA DOCE NO LAR Mix de Frutos Tropicais 450 g,"3,55 €",,"7,89 €/Kg",
DIA DOCE NO LAR Morangos Congelados 600 g,"2,95 €",,"4,92 €/Kg",
DIA DOCE NO LAR Strudel de Maçã 600 g,"2,29 €",,"3,82 €/Kg",
DIA SIMPRATICO Hamburguer de Vaca 100% 500 g,"5,95 €",,"11,90 €/Kg",
BUITONI Piccolinis Salame 270 g,"3,99 €",,"14,78 €/Kg",
DIA MARI MARINHEIRA Argolas à Romana 400 g,"2,79 €",,"6,98 €/Kg",
DIA SIMPRATICO Almôndegas de Bovino sem Glúten 600 g,"5,79 €",,"9,65 €/Kg",
"DIA MARI MARINHEIRA Polvo Limpo Congelado (1,4 kg - 1,8 kg) (1 un = 1800 g aprox)","27,70 €",,"15,39 €/Kg",
DIA DELI SALGADO Coxinhas de Frango Congeladas 360 g,"3,49 €",,"9,69 €/Kg",
DIA DELI SALGADO Rissóis de Camarão Forno 360 g,"2,98 €",,"8,28 €/Kg",
DIA DELI SALGADO Rissóis de Carne Forno 360 g,"3,29 €",,"9,14 €/Kg",
DIA DELI SALGADO Croquetes de Carne Forno 320 g,"3,08 €",,"9,63 €/Kg",
DIA DELI SALGADO Rissóis de Pescada Para Forno 360 g,"3,29 €",,"9,14 €/Kg",
DIA DELI SALGADO Pastel de Chaves 340 g,"4,15 €",,"12,21 €/Kg",
DR. OETKER Casa di Mama Pizza Hawai 415 g,"5,49 €",,"13,23 €/Kg",
DIA BATATAS UNIDAS Batata Doce Congelada 500 g,"2,56 €",,"5,12 €/Kg",
GELPEIXE Posta Salmão Higienizado (1 un = 180 g aprox),"1,62 €",,"8,99 €/Kg",
DIA MARI MARINHEIRA Barrinhas de Pescada Congeladas 300 g,"2,05 €",,"6,83 €/Kg",
DIA DELI SALGADO Chamuças de Frango Para Forno 180 g,"3,65 €",,"20,28 €/Kg",
DIA DELI SALGADO Salgados Mini Mix Congelados 500 g,"6,49 €",,"12,98 €/Kg",
DR. OETKER Ristorante Pizza Atum 355 g,"3,74 €",,"10,54 €/Kg",
DIA MARI MARINHEIRA Delícias do Mar 450 g,"2,25 €",,"5,00 €/Kg",
DIA DOCE NO LAR Profiteroles Congelados 330 g,"3,09 €",,"9,36 €/Kg",
DIA DELI SALGADO Rissóis de Leitão para Forno 390 g,"3,55 €",,"9,10 €/Kg",
DIA Castanhas Congeladas 500 g,"5,95 €",,"11,90 €/Kg",
COZINHA PRONTA Hamburguer Crocante de Falafel 2x85 g,"2,29 €",,"13,47 €/Kg",
COZINHA PRONTA Hamburguer Crocante de Cenoura 2x94 g,"2,29 €",,"12,18 €/Kg",
COZINHA PRONTA Hamburguer Crocante de Espinafres 2x100 g,"2,29 €",,"11,45 €/Kg",
IGLO Nuggets de Proteína Vegetal Green Cuisine (11 un) 250 g,"3,59 €",,"14,36 €/Kg",
IGLO Finger Espinafres Green Cuisine (10 un) 284 g,"2,99 €",,"10,53 €/Kg",
DIA MARI MARINHEIRA Miolo de Berbigão Congelado 250 g,"7,10 €",,"28,40 €/Kg",
DIA DELI SALGADO Pastéis de Bacalhau para Forno 350 g,"5,19 €",,"14,83 €/Kg",
DIA TEMPTATION Gelado de Amendoim 500 ml,"3,10 €",,"6,20 €/l",
DIA TEMPTATION Gelado Café e Brownie 350 g,"3,10 €",,"6,20 €/l",
IGLO Chicken Wings 400 g,"6,49 €",,"16,23 €/Kg",
DIA MARI MARINHEIRA Miolo de Ameijoa Congelada 250 g,"2,95 €",,"11,80 €/Kg",
DIA TEMPTATION Gelado Big Golden Caramelo 3x67 g,"2,39 €",,"8,85 €/l",
MAGNUM Gelado Mini Almond Remix 6x55 ml,"5,99 €",,"18,15 €/l",
SOLERO Exotic 3x90 ml,"3,99 €",,"14,78 €/l",
DIA TEMPTATION Sorvete de Limão 1 L,"2,05 €",,"2,05 €/l",
DIA MARI MARINHEIRA Miolo de Gambão Congelado 225 g,"7,95 €",,"35,33 €/Kg",
DIA É TÃO FISH Tentáculos de Pota 800 g,"5,79 €",,"7,24 €/Kg",
DIA TEMPTATION Sorvete de Manga 600 g,"2,49 €",,"2,49 €/l",
OLÁ Mini Bites Morango 10x10 ml,"1,49 €",,"14,90 €/l",
OLÁ Mini Bites Baunilha 10x10 ml,"1,49 €",,"14,90 €/l",
MAGNUM Gelado Sweet & Salty Almond Remix 440 ml,"5,99 €",,"13,61 €/l",
DIA MARI MARINHEIRA Camarão Vannamei (40/60) 800 g,"10,29 €",,"12,86 €/Kg",
BUITONI Pizza Forno de Pedra Queijo e Fiambre 350 g,"4,25 €",,"12,14 €/Kg",
DIA VEGECAMPO Grelos em Folha 750 g,"2,19 €",,"2,92 €/Kg",
DIA É TÃO FISH Posta de Solha 700 g,"5,79 €",,"8,27 €/Kg",
DIA TEMPTATION Gelado de Maracujá com Chocolate 4 un,"2,39 €",,"7,97 €/l",
DIA TEMPTATION Gelado de Maçã e Tangerina Vegan 6 un,"2,95 €",,"8,19 €/l",
"DIA TEMPTATION Gelado Ananás, Lima e Menta 500 ml","3,10 €",,"6,20 €/l",
DIA É TÃO FISH Caldeirada de Peixe 700 g,"4,99 €",,"7,13 €/Kg",
DIA É TÃO FISH Preparado para Mariscada sem Glúten 800 g,"5,30 €",,"6,63 €/Kg",
DIA MARI MARINHEIRA Barrinhas de Pescada Congeladas 900 g,"5,99 €",,"6,66 €/Kg",
DIA É TÃO FISH Lombos de Pescada sem Pele 400 g,"3,59 €","3,70 €","8,98 €/Kg","9,25 €/Kg"
DIA É TÃO FISH Tiras de Pota 700 g,"5,14 €",,"7,34 €/Kg",
DIA É TÃO FISH Sardinha Congelada 1 kg,"4,11 €",,"4,11 €/Kg",
