Nome,Preço,Preço Antigo,PpU,PpU Antigo
MATINAL Leite Magro Leve 1 L,"1,19 €",,"1,19 €/l",
MIMOSA Iogurte Aroma de Multisabores Super Poupança 8x120 g,"1,89 €",,"1,97 €/Kg",
ACTIVIA Iogurte Líquido Magro Pêssego E Maracujá 4x155 g,"1,99 €",,"3,21 €/Kg",
SHOYCE Bebida de Aveia 200 ml,"0,73 €",,"3,65 €/l",
DANET Sobremesa Chocolate 4x125 g,"1,99 €",,"3,98 €/Kg",
SHOYCE Bebida de Amêndoa 1 L,"2,19 €",,"2,19 €/l",
PAIVA Queijo Amanteigado de Lamego 1 Un,"6,55 €","7,55 €","6,55 €/ud","7,55 €/ud"
PRIMOR Manteiga Com Sal 250 g,"2,29 €",,"9,16 €/Kg",
MIMOSA Iogurte Magro Sólido Morango Coco Super Poupança 6x120 g,"1,99 €",,"2,76 €/Kg",
MIMOSA Manteiga Com Sal Magra 250 g,"2,29 €",,"9,16 €/Kg",
DIA VITAL Bebida de Amêndoa 1 L,"1,64 €",,"1,64 €/l",
REINA Leite Creme Com Bolacha 4x125 g,"2,30 €",,"4,60 €/Kg",
DIA VITAL Bebida de Aveia 1 L,"1,53 €",,"1,53 €/l",
DIA LÁCTEA Leite Magro Sem Lactose 1 L,"1,02 €",,"1,02 €/l",
PARMAREGGIO Queijo Parmigiano Reggiano 150 g,"3,99 €",,"26,60 €/Kg",
ACTIMEL Natural O% Actimel 6x100 g,"2,49 €",,"4,15 €/Kg",
SANTIAGO Requeijão de Cabra 170 g,"2,39 €",,"14,06 €/Kg",
MILHAFRE Queijo em Fatias 200 g,"2,39 €",,"11,95 €/Kg",
VIGOR Kefir Natural 200 ml,"0,62 €",,"3,10 €/l",
VIGOR Kefir Maracujá 200 ml,"0,62 €",,"3,10 €/l",
DANACOL Iogurte Redutor Aveia 6x100 g,"3,99 €",,"6,65 €/Kg",
YOPRO Iogurte Líquido Baunilha Cookies 300 g,"2,39 €",,"7,97 €/Kg",
LINDAHLS Iogurte Sólido Proteico Framboesa 150 g,"1,09 €",,"7,27 €/Kg",
LINDAHLS Iogurte Sólido Proteico Straciatella 150 g,"1,09 €",,"7,27 €/Kg",
DIA LÁCTEA Iogurte Líquido Morango 1 kg,"1,65 €",,"1,65 €/Kg",
DANET Sobremesa Baunilha Chocolate 4x115 g,"1,99 €",,"4,33 €/Kg",
YOCO Iogurte Suissinho Morango Maçã Pera Alperce 6x42 g,"1,62 €",,"6,43 €/Kg",
MIMOSA Iogurte Grego Cheesecake Limão 4x110 g,"2,19 €",,"4,98 €/Kg",
